ICD	flag	phecode
001	9	008
0010	9	008
0011	9	008
0019	9	008
002	9	008
0020	9	008
0020	9	0085
0021	9	008
0022	9	008
0023	9	008
0029	9	008
003	9	008
003	9	0085
0030	9	008
0030	9	0085
0031	9	038
0031	9	0381
0032	9	008
0032	9	0085
00320	9	008
00320	9	0085
00321	9	320
00322	9	480
00322	9	4801
00323	9	711
00324	9	710
00324	9	7101
00329	9	008
00329	9	0085
0038	9	008
0038	9	0085
0039	9	008
0039	9	0085
004	9	008
004	9	0085
0040	9	008
0040	9	0085
0041	9	008
0041	9	0085
0042	9	008
0042	9	0085
0043	9	008
0043	9	0085
0048	9	008
0048	9	0085
0049	9	008
0049	9	0085
005	9	008
005	9	0085
0050	9	008
0050	9	0085
0051	9	008
0051	9	0085
0052	9	008
0052	9	0085
0053	9	008
0053	9	0085
0054	9	008
0054	9	0085
0058	9	008
0058	9	0085
00581	9	008
00581	9	0085
00589	9	008
00589	9	0085
0059	9	008
006	9	008
0060	9	008
0061	9	008
0061	9	0087
0062	9	008
0063	9	008
0064	9	008
0065	9	008
0066	9	008
0068	9	008
0069	9	008
007	9	008
0070	9	008
0070	9	0087
0071	9	008
0071	9	0087
0072	9	008
0073	9	008
0074	9	008
0074	9	0087
0075	9	008
0078	9	008
0078	9	0087
0079	9	008
008	9	008
0080	9	008
0080	9	0085
0080	9	00851
00800	9	008
00800	9	0085
00800	9	00851
00801	9	008
00801	9	0085
00801	9	00851
00802	9	008
00802	9	0085
00802	9	00851
00803	9	008
00803	9	0085
00803	9	00851
00804	9	008
00804	9	0085
00804	9	00851
00809	9	008
00809	9	0085
00809	9	00851
0081	9	008
0081	9	0085
0082	9	008
0082	9	0085
0083	9	008
0083	9	0085
0084	9	008
0084	9	0085
00841	9	008
00841	9	0085
00842	9	008
00842	9	0085
00843	9	008
00843	9	0085
00844	9	008
00844	9	0085
00845	9	008
00845	9	0085
00845	9	00852
00846	9	008
00846	9	0085
00847	9	008
00847	9	0085
00849	9	008
00849	9	0085
0085	9	008
0085	9	0085
0086	9	008
0086	9	0086
00861	9	008
00861	9	0086
00862	9	008
00862	9	0086
00863	9	008
00863	9	0086
00864	9	008
00864	9	0086
00865	9	008
00865	9	0086
00866	9	008
00866	9	0086
00867	9	008
00867	9	0086
00869	9	008
00869	9	0086
0088	9	008
0088	9	0086
009	9	008
0090	9	008
0091	9	008
0092	9	008
0093	9	008
010	9	010
0100	9	010
01000	9	010
01001	9	010
01002	9	010
01003	9	010
01004	9	010
01005	9	010
01006	9	010
0101	9	010
01010	9	010
01011	9	010
01012	9	010
01013	9	010
01014	9	010
01015	9	010
01016	9	010
0108	9	010
01080	9	010
01081	9	010
01082	9	010
01083	9	010
01084	9	010
01085	9	010
01086	9	010
0109	9	010
01090	9	010
01091	9	010
01092	9	010
01093	9	010
01094	9	010
01095	9	010
01096	9	010
011	9	010
0110	9	010
01100	9	010
01101	9	010
01102	9	010
01103	9	010
01104	9	010
01105	9	010
01106	9	010
0111	9	010
01110	9	010
01111	9	010
01112	9	010
01113	9	010
01114	9	010
01115	9	010
01116	9	010
0112	9	010
01120	9	010
01121	9	010
01122	9	010
01123	9	010
01124	9	010
01125	9	010
01126	9	010
0113	9	010
01130	9	010
01131	9	010
01132	9	010
01133	9	010
01134	9	010
01135	9	010
01136	9	010
0114	9	010
01140	9	010
01141	9	010
01142	9	010
01143	9	010
01144	9	010
01145	9	010
01146	9	010
0115	9	010
01150	9	010
01151	9	010
01152	9	010
01153	9	010
01154	9	010
01155	9	010
01156	9	010
0116	9	010
01160	9	010
01161	9	010
01162	9	010
01163	9	010
01164	9	010
01165	9	010
01166	9	010
0117	9	010
01170	9	010
01171	9	010
01172	9	010
01173	9	010
01174	9	010
01175	9	010
01176	9	010
0118	9	010
01180	9	010
01181	9	010
01182	9	010
01183	9	010
01184	9	010
01185	9	010
01186	9	010
0119	9	010
01190	9	010
01191	9	010
01192	9	010
01193	9	010
01194	9	010
01195	9	010
01196	9	010
012	9	010
0120	9	010
01200	9	010
01201	9	010
01202	9	010
01203	9	010
01204	9	010
01205	9	010
01206	9	010
0121	9	010
01210	9	010
01211	9	010
01212	9	010
01213	9	010
01214	9	010
01215	9	010
01216	9	010
0122	9	010
01220	9	010
01221	9	010
01222	9	010
01223	9	010
01224	9	010
01225	9	010
01226	9	010
0123	9	010
01230	9	010
01231	9	010
01232	9	010
01233	9	010
01234	9	010
01235	9	010
01236	9	010
0128	9	010
01280	9	010
01281	9	010
01282	9	010
01283	9	010
01284	9	010
01285	9	010
01286	9	010
013	9	010
0130	9	010
01300	9	010
01301	9	010
01302	9	010
01303	9	010
01304	9	010
01305	9	010
01306	9	010
0131	9	010
01310	9	010
01311	9	010
01312	9	010
01313	9	010
01314	9	010
01315	9	010
01316	9	010
0132	9	010
01320	9	010
01321	9	010
01322	9	010
01323	9	010
01324	9	010
01325	9	010
01326	9	010
0133	9	010
01330	9	010
01331	9	010
01332	9	010
01333	9	010
01334	9	010
01335	9	010
01336	9	010
0134	9	010
01340	9	010
01341	9	010
01342	9	010
01343	9	010
01344	9	010
01345	9	010
01346	9	010
0135	9	010
01350	9	010
01351	9	010
01352	9	010
01353	9	010
01354	9	010
01355	9	010
01356	9	010
0136	9	010
01360	9	010
01361	9	010
01362	9	010
01363	9	010
01364	9	010
01365	9	010
01366	9	010
0138	9	010
01380	9	010
01381	9	010
01382	9	010
01383	9	010
01384	9	010
01385	9	010
01386	9	010
0139	9	010
01390	9	010
01391	9	010
01392	9	010
01393	9	010
01394	9	010
01395	9	010
01396	9	010
014	9	010
0140	9	010
01400	9	010
01401	9	010
01402	9	010
01403	9	010
01404	9	010
01405	9	010
01406	9	010
0148	9	010
01480	9	010
01481	9	010
01482	9	010
01483	9	010
01484	9	010
01485	9	010
01486	9	010
015	9	010
0150	9	010
01500	9	010
01501	9	010
01502	9	010
01503	9	010
01504	9	010
01505	9	010
01506	9	010
0151	9	010
01510	9	010
01511	9	010
01512	9	010
01513	9	010
01514	9	010
01515	9	010
01516	9	010
0152	9	010
01520	9	010
01521	9	010
01522	9	010
01523	9	010
01524	9	010
01525	9	010
01526	9	010
0155	9	010
01550	9	010
01551	9	010
01552	9	010
01553	9	010
01554	9	010
01555	9	010
01556	9	010
0156	9	010
01560	9	010
01561	9	010
01562	9	010
01563	9	010
01564	9	010
01565	9	010
01566	9	010
0157	9	010
01570	9	010
01571	9	010
01572	9	010
01573	9	010
01574	9	010
01575	9	010
01576	9	010
0158	9	010
01580	9	010
01581	9	010
01582	9	010
01583	9	010
01584	9	010
01585	9	010
01586	9	010
0159	9	010
01590	9	010
01591	9	010
01592	9	010
01593	9	010
01594	9	010
01595	9	010
01596	9	010
016	9	010
0160	9	010
01600	9	010
01601	9	010
01602	9	010
01603	9	010
01604	9	010
01605	9	010
01606	9	010
0161	9	010
01610	9	010
01611	9	010
01612	9	010
01613	9	010
01614	9	010
01615	9	010
01616	9	010
0162	9	010
01620	9	010
01621	9	010
01622	9	010
01623	9	010
01624	9	010
01625	9	010
01626	9	010
0163	9	010
01630	9	010
01631	9	010
01632	9	010
01633	9	010
01634	9	010
01635	9	010
01636	9	010
0164	9	010
01640	9	010
01641	9	010
01642	9	010
01643	9	010
01644	9	010
01645	9	010
01646	9	010
0165	9	010
01650	9	010
01651	9	010
01652	9	010
01653	9	010
01654	9	010
01655	9	010
01656	9	010
0166	9	010
01660	9	010
01661	9	010
01662	9	010
01663	9	010
01664	9	010
01665	9	010
01666	9	010
0167	9	010
01670	9	010
01671	9	010
01672	9	010
01673	9	010
01674	9	010
01675	9	010
01676	9	010
0169	9	010
01690	9	010
01691	9	010
01692	9	010
01693	9	010
01694	9	010
01695	9	010
01696	9	010
017	9	010
0170	9	010
01700	9	010
01701	9	010
01702	9	010
01703	9	010
01704	9	010
01705	9	010
01706	9	010
0171	9	010
01710	9	010
01711	9	010
01712	9	010
01713	9	010
01714	9	010
01715	9	010
01716	9	010
0172	9	010
01720	9	010
01721	9	010
01722	9	010
01723	9	010
01724	9	010
01725	9	010
01726	9	010
0173	9	010
01730	9	010
01731	9	010
01732	9	010
01733	9	010
01734	9	010
01735	9	010
01736	9	010
0174	9	010
01740	9	010
01741	9	010
01742	9	010
01743	9	010
01744	9	010
01745	9	010
01746	9	010
0175	9	010
01750	9	010
01751	9	010
01752	9	010
01753	9	010
01754	9	010
01755	9	010
01756	9	010
0176	9	010
01760	9	010
01761	9	010
01762	9	010
01763	9	010
01764	9	010
01765	9	010
01766	9	010
0177	9	010
01770	9	010
01771	9	010
01772	9	010
01773	9	010
01774	9	010
01775	9	010
01776	9	010
0178	9	010
01780	9	010
01781	9	010
01782	9	010
01783	9	010
01784	9	010
01785	9	010
01786	9	010
0179	9	010
01790	9	010
01791	9	010
01792	9	010
01793	9	010
01794	9	010
01795	9	010
01796	9	010
018	9	010
0180	9	010
01800	9	010
01801	9	010
01802	9	010
01803	9	010
01804	9	010
01805	9	010
01806	9	010
0188	9	010
01880	9	010
01881	9	010
01882	9	010
01883	9	010
01884	9	010
01885	9	010
01886	9	010
0189	9	010
01890	9	010
01891	9	010
01892	9	010
01893	9	010
01894	9	010
01895	9	010
01896	9	010
020	9	041
0200	9	041
0201	9	686
0202	9	038
0202	9	0381
0203	9	480
0203	9	4801
0204	9	480
0204	9	4801
0205	9	480
0205	9	4801
0208	9	041
0209	9	041
021	9	041
0210	9	686
0211	9	008
0212	9	480
0212	9	4801
0213	9	369
0218	9	041
0219	9	041
022	9	041
0220	9	686
0221	9	480
0221	9	4801
0222	9	008
0223	9	038
0223	9	0382
0228	9	041
0229	9	041
023	9	041
0230	9	041
0231	9	041
0232	9	041
0233	9	041
0238	9	041
0239	9	041
024	9	041
025	9	041
026	9	041
0260	9	041
0261	9	711
0269	9	041
027	9	041
0270	9	041
0271	9	041
0272	9	041
0278	9	041
0279	9	041
030	9	031
030	9	0311
0300	9	031
0300	9	0311
0301	9	031
0301	9	0311
0302	9	031
0302	9	0311
0303	9	031
0303	9	0311
0308	9	031
0308	9	0311
0309	9	031
0309	9	0311
031	9	031
0310	9	480
0310	9	4801
0311	9	686
0312	9	031
0318	9	031
0319	9	031
032	9	041
0320	9	465
0321	9	465
0322	9	465
0323	9	465
0328	9	041
03281	9	369
03282	9	420
03282	9	4201
03283	9	567
03284	9	592
03284	9	5921
03285	9	686
03289	9	041
0329	9	041
033	9	041
0330	9	041
0331	9	041
0338	9	041
0339	9	041
034	9	041
034	9	0412
0340	9	465
0341	9	041
0341	9	0412
035	9	686
036	9	041
0360	9	320
0361	9	323
0362	9	038
0362	9	0381
0363	9	041
0364	9	420
03640	9	420
03641	9	420
03641	9	4202
03642	9	420
03642	9	4203
03643	9	420
03643	9	4201
0368	9	041
03681	9	041
03682	9	711
03689	9	041
0369	9	041
037	9	041
038	9	038
0380	9	038
0380	9	0381
0381	9	038
0381	9	0382
03810	9	038
03810	9	0382
03811	9	038
03811	9	0382
03812	9	038
03812	9	0382
03819	9	038
03819	9	0382
0382	9	038
0382	9	0382
0383	9	038
0384	9	038
0384	9	0381
03840	9	038
03840	9	0381
03841	9	038
03841	9	0381
03842	9	038
03842	9	0381
03843	9	038
03843	9	0381
03844	9	038
03844	9	0381
03849	9	038
03849	9	0381
0388	9	038
0389	9	038
039	9	041
0390	9	686
0391	9	480
0391	9	4801
0392	9	041
0393	9	041
0394	9	041
0398	9	041
0399	9	041
040	9	041
0400	9	041
0401	9	041
0402	9	041
0403	9	041
0404	9	041
04041	9	657
04042	9	041
0408	9	041
04081	9	041
04082	9	041
04089	9	041
041	9	041
0410	9	041
0410	9	0412
04100	9	041
04100	9	0412
04101	9	041
04101	9	0412
04102	9	041
04102	9	0412
04103	9	041
04103	9	0412
04104	9	041
04104	9	0412
04105	9	041
04105	9	0412
04109	9	041
04109	9	0412
0411	9	041
0411	9	0411
04110	9	041
04110	9	0411
04111	9	041
04111	9	0411
04111	9	04111
04112	9	041
04112	9	0411
04112	9	04112
04119	9	041
04119	9	0411
0412	9	041
0413	9	041
0414	9	041
0414	9	0414
04141	9	041
04141	9	0414
04142	9	041
04142	9	0414
04143	9	041
04143	9	0414
04149	9	041
04149	9	0414
0415	9	041
0416	9	041
0417	9	041
0418	9	041
04181	9	041
04182	9	041
04183	9	041
04184	9	041
04185	9	041
04186	9	041
04186	9	0418
04189	9	041
0419	9	041
042	9	071
042	9	0711
0420	9	071
0420	9	0711
0421	9	071
0421	9	0711
0422	9	071
0422	9	0711
0429	9	071
0429	9	0711
043	9	071
0430	9	071
0431	9	071
0432	9	071
0433	9	071
0439	9	071
044	9	071
0440	9	071
0449	9	071
045	9	324
0450	9	324
04500	9	324
04501	9	324
04502	9	324
04503	9	324
0451	9	324
04510	9	324
04511	9	324
04512	9	324
04513	9	324
0452	9	324
04520	9	324
04521	9	324
04522	9	324
04523	9	324
0459	9	324
04590	9	324
04591	9	324
04592	9	324
04593	9	324
046	9	324
0460	9	324
0461	9	324
0461	9	3241
04611	9	324
04611	9	3241
04619	9	324
04619	9	3241
0462	9	323
0463	9	324
0467	9	324
04671	9	324
04672	9	324
04679	9	324
0468	9	324
0469	9	324
047	9	320
0470	9	320
0471	9	320
0478	9	320
0479	9	320
048	9	324
0480	9	324
049	9	324
0490	9	320
0491	9	320
0498	9	323
0499	9	323
050	9	079
0500	9	079
0501	9	079
0502	9	079
0509	9	079
051	9	079
0510	9	079
05101	9	079
05102	9	079
0511	9	079
0512	9	079
0519	9	079
052	9	079
052	9	0791
0520	9	323
0521	9	480
0521	9	4802
0522	9	079
0522	9	0791
0527	9	079
0527	9	0791
0528	9	079
0528	9	0791
0529	9	079
0529	9	0791
053	9	053
0530	9	320
0531	9	053
0531	9	0531
05310	9	053
05310	9	0531
05311	9	053
05311	9	0531
05312	9	053
05312	9	0531
05313	9	053
05313	9	0531
05314	9	053
05314	9	0531
05319	9	053
05319	9	0531
0532	9	369
0532	9	3692
05320	9	369
05320	9	3692
05321	9	369
05321	9	3692
05322	9	369
05322	9	3692
05329	9	369
05329	9	3692
0537	9	053
05371	9	053
05379	9	053
0538	9	053
0539	9	053
054	9	054
0540	9	054
0541	9	054
05410	9	054
05411	9	054
05412	9	054
05413	9	054
05419	9	054
0542	9	054
0543	9	323
0544	9	369
0544	9	3692
05440	9	369
05440	9	3692
05441	9	369
05441	9	3692
05442	9	369
05442	9	3692
05443	9	369
05443	9	3692
05444	9	369
05444	9	3692
05449	9	369
05449	9	3692
0545	9	038
0546	9	054
0547	9	054
05471	9	054
05472	9	320
05473	9	054
05474	9	054
05479	9	054
0548	9	054
0549	9	054
055	9	079
0550	9	323
0551	9	480
0551	9	4802
0552	9	381
0552	9	3811
0557	9	079
05571	9	369
05571	9	3692
05579	9	079
0558	9	079
0559	9	079
056	9	079
0560	9	079
05600	9	079
05601	9	323
05609	9	079
0567	9	079
05671	9	711
05679	9	079
0568	9	079
0569	9	079
057	9	079
0570	9	079
0578	9	079
0579	9	079
058	9	054
0581	9	054
05810	9	054
05811	9	054
05812	9	054
0582	9	323
05821	9	323
05829	9	323
0588	9	054
05881	9	054
05882	9	054
05889	9	054
059	9	079
0590	9	079
05900	9	079
05901	9	079
05909	9	079
0591	9	079
05910	9	079
05911	9	079
05912	9	079
05919	9	079
0592	9	079
05920	9	079
05921	9	079
05922	9	079
0598	9	079
0599	9	079
060	9	079
0600	9	079
0601	9	079
0609	9	079
061	9	079
062	9	323
0620	9	323
0621	9	323
0622	9	323
0623	9	323
0624	9	323
0625	9	323
0628	9	323
0629	9	323
063	9	323
0630	9	323
0631	9	323
0632	9	323
0638	9	323
0639	9	323
064	9	323
065	9	079
0650	9	079
0651	9	079
0652	9	079
0653	9	079
0654	9	079
0658	9	079
0659	9	079
066	9	079
0660	9	079
0661	9	079
0662	9	323
0663	9	079
0664	9	079
06640	9	079
06641	9	079
06642	9	079
06649	9	079
0668	9	079
0669	9	079
070	9	070
0700	9	070
0700	9	0701
0701	9	070
0701	9	0701
0702	9	070
0702	9	0702
07020	9	070
07020	9	0702
07021	9	070
07021	9	0702
07022	9	070
07022	9	0702
07023	9	070
07023	9	0702
0703	9	070
0703	9	0702
07030	9	070
07030	9	0702
07031	9	070
07031	9	0702
07032	9	070
07032	9	0702
07033	9	070
07033	9	0702
0704	9	070
07041	9	070
07041	9	0703
07042	9	070
07043	9	070
07044	9	070
07044	9	0703
07049	9	070
0705	9	070
07051	9	070
07051	9	0703
07052	9	070
07053	9	070
07054	9	070
07054	9	0703
07059	9	070
0706	9	070
0707	9	070
0707	9	0703
07070	9	070
07070	9	0703
07071	9	070
07071	9	0703
0709	9	070
071	9	079
072	9	079
0720	9	079
0721	9	320
0722	9	323
0723	9	079
0727	9	079
07271	9	079
07272	9	079
07279	9	079
0728	9	079
0729	9	079
073	9	079
0730	9	480
0730	9	4801
0737	9	079
0738	9	079
0739	9	079
074	9	079
0740	9	079
0741	9	079
0742	9	420
07420	9	420
07421	9	420
07421	9	4202
07422	9	420
07422	9	4203
07423	9	420
07423	9	4201
0743	9	079
0748	9	079
075	9	079
075	9	0792
0750	9	079
0750	9	0792
076	9	369
0760	9	369
0761	9	369
0769	9	369
077	9	369
077	9	3692
0770	9	369
0771	9	369
0771	9	3692
0772	9	369
0772	9	3692
0773	9	369
0773	9	3692
0774	9	369
0774	9	3692
0778	9	369
0778	9	3692
0779	9	369
0779	9	3692
07798	9	369
07798	9	3692
07799	9	369
07799	9	3692
078	9	079
0780	9	079
0781	9	078
07810	9	078
07811	9	078
07812	9	078
07819	9	078
0782	9	079
0783	9	079
0784	9	079
0785	9	079
0786	9	079
0787	9	079
0788	9	079
07881	9	079
07882	9	079
07888	9	079
07889	9	079
079	9	079
0790	9	079
0791	9	079
0792	9	079
0793	9	079
0794	9	078
0795	9	079
07950	9	079
07951	9	079
07952	9	079
07953	9	071
07959	9	079
0796	9	079
0798	9	079
07981	9	079
07982	9	079
07983	9	079
07988	9	079
07989	9	079
0799	9	079
07998	9	079
07999	9	079
080	9	136
081	9	136
0810	9	136
0811	9	136
0812	9	136
0819	9	136
082	9	136
0820	9	136
0821	9	136
0822	9	136
0823	9	136
0824	9	136
08240	9	136
08241	9	136
08249	9	136
0828	9	136
0829	9	136
083	9	136
0830	9	480
0830	9	4801
0831	9	136
0832	9	136
0838	9	136
0839	9	136
084	9	133
0840	9	133
0841	9	133
0842	9	133
0843	9	133
0844	9	133
0845	9	133
0846	9	133
0847	9	133
0848	9	133
0849	9	133
085	9	133
0850	9	133
0851	9	133
0852	9	133
0853	9	133
0854	9	133
0855	9	133
0859	9	133
086	9	133
0860	9	133
0861	9	133
0862	9	133
0863	9	133
0864	9	133
0865	9	133
0869	9	133
087	9	130
0870	9	130
0871	9	130
0879	9	130
088	9	133
0880	9	133
0888	9	133
08881	9	130
08881	9	1301
08882	9	133
08889	9	133
0889	9	133
090	9	090
0900	9	090
0901	9	090
0902	9	090
0903	9	090
0904	9	090
09040	9	090
09041	9	090
09042	9	090
09049	9	090
0905	9	090
0906	9	090
0907	9	090
0909	9	090
091	9	090
0910	9	090
0911	9	090
0912	9	090
0913	9	090
0914	9	090
0915	9	090
09150	9	090
09151	9	090
09152	9	090
0916	9	090
09161	9	090
09162	9	090
09169	9	090
0917	9	090
0918	9	090
09181	9	090
09182	9	090
09189	9	090
0919	9	090
092	9	090
0920	9	090
0929	9	090
093	9	090
0930	9	090
0931	9	090
0932	9	090
09320	9	090
09321	9	090
09322	9	090
09323	9	090
09324	9	090
0938	9	090
09381	9	090
09382	9	090
09389	9	090
0939	9	090
094	9	090
0940	9	090
0941	9	090
0942	9	090
0943	9	090
0948	9	090
09481	9	090
09482	9	090
09483	9	090
09484	9	090
09485	9	090
09486	9	090
09487	9	090
09489	9	090
0949	9	090
095	9	090
0950	9	090
0951	9	090
0952	9	090
0953	9	090
0954	9	090
0955	9	090
0956	9	090
0957	9	090
0958	9	090
0959	9	090
096	9	090
097	9	090
0970	9	090
0971	9	090
0979	9	090
098	9	090
098	9	0902
0980	9	090
0980	9	0902
0981	9	090
0981	9	0902
09810	9	090
09810	9	0902
09811	9	090
09811	9	0902
09812	9	090
09812	9	0902
09813	9	090
09813	9	0902
09814	9	090
09814	9	0902
09815	9	090
09815	9	0902
09816	9	090
09816	9	0902
09817	9	090
09817	9	0902
09819	9	090
09819	9	0902
0982	9	090
0982	9	0902
0983	9	090
0983	9	0902
09830	9	090
09830	9	0902
09831	9	090
09831	9	0902
09832	9	090
09832	9	0902
09833	9	090
09833	9	0902
09834	9	090
09834	9	0902
09835	9	090
09835	9	0902
09836	9	090
09836	9	0902
09837	9	090
09837	9	0902
09839	9	090
09839	9	0902
0984	9	090
0984	9	0902
09840	9	090
09840	9	0902
09841	9	090
09841	9	0902
09842	9	090
09842	9	0902
09843	9	090
09843	9	0902
09849	9	090
09849	9	0902
0985	9	090
0985	9	0902
09850	9	711
09851	9	090
09851	9	0902
09852	9	090
09852	9	0902
09853	9	090
09853	9	0902
09859	9	090
09859	9	0902
0986	9	090
0986	9	0902
0987	9	090
0987	9	0902
0988	9	090
0988	9	0902
09881	9	090
09881	9	0902
09882	9	090
09882	9	0902
09883	9	090
09883	9	0902
09884	9	090
09884	9	0902
09885	9	090
09885	9	0902
09886	9	090
09886	9	0902
09889	9	090
09889	9	0902
099	9	090
0990	9	090
0991	9	090
0992	9	090
0993	9	711
0993	9	7112
0994	9	090
09940	9	090
09941	9	090
09949	9	090
0995	9	090
09950	9	090
09950	9	0903
09951	9	090
09951	9	0903
09952	9	090
09952	9	0903
09953	9	090
09953	9	0903
09954	9	090
09954	9	0903
09955	9	090
09955	9	0903
09956	9	090
09956	9	0903
09959	9	090
09959	9	0903
0998	9	090
0999	9	090
100	9	130
1000	9	130
1008	9	130
10081	9	320
10089	9	130
1009	9	130
101	9	130
102	9	130
1020	9	130
1021	9	130
1022	9	130
1023	9	130
1024	9	130
1025	9	130
1026	9	130
1027	9	130
1028	9	130
1029	9	130
103	9	130
1030	9	130
1031	9	130
1032	9	130
1033	9	130
1039	9	130
104	9	130
1040	9	130
1048	9	130
1049	9	130
110	9	110
1100	9	110
1100	9	1101
1101	9	110
1101	9	1101
1101	9	11011
1102	9	110
1102	9	1101
1103	9	110
1103	9	1101
1103	9	11013
1104	9	110
1104	9	1101
1104	9	11012
1105	9	110
1105	9	1101
1105	9	11013
1106	9	110
1106	9	1101
1108	9	110
1108	9	1101
1109	9	110
1109	9	1101
111	9	110
111	9	1102
1110	9	110
1110	9	1102
1111	9	110
1111	9	1102
1112	9	110
1112	9	1102
1113	9	110
1113	9	1102
1118	9	110
1118	9	1102
1119	9	110
1119	9	1102
112	9	112
1120	9	112
1121	9	112
1122	9	112
1123	9	112
1123	9	1123
1124	9	480
1124	9	4803
1125	9	112
1128	9	112
11281	9	420
11281	9	4203
11282	9	112
11283	9	320
11284	9	112
11285	9	112
11289	9	112
1129	9	112
114	9	117
114	9	1172
1140	9	480
1140	9	4803
1141	9	117
1141	9	1172
1142	9	320
1143	9	117
1143	9	1172
1144	9	480
1144	9	4803
1145	9	480
1145	9	4803
1149	9	117
1149	9	1172
115	9	117
115	9	1171
1150	9	117
1150	9	1171
11500	9	117
11500	9	1171
11501	9	117
11501	9	1171
11502	9	117
11502	9	1171
